epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
8,0.4489924497902393,0.4909119009971618,0.6699681467483326,A1,rel-trial,SAGE-MPNN-D,44,False
9,0.4442400162418683,0.5129874050617218,0.66786842328638,A1,rel-trial,SAGE-MPNN-D,44,True
1,0.5042259829739729,0.4980719834566116,0.6207005928368157,A1,rel-trial,SAGE-MPNN-U,42,False
2,0.4867858315507571,0.4815936833620071,0.6659563346869849,A1,rel-trial,SAGE-MPNN-U,42,False
3,0.4686048949758212,0.4809702038764953,0.6721974276153841,A1,rel-trial,SAGE-MPNN-U,42,False
4,0.4629554599523544,0.4760571420192718,0.6754810377101399,A1,rel-trial,SAGE-MPNN-U,42,False
5,0.456800760080417,0.4681364893913269,0.6905945791394708,A1,rel-trial,SAGE-MPNN-U,42,False
6,0.4515305745104949,0.4839109927415848,0.6877845236978364,A1,rel-trial,SAGE-MPNN-U,42,False
7,0.4441219357152779,0.4794902801513672,0.6822716327360291,A1,rel-trial,SAGE-MPNN-U,42,False
8,0.4364630356431007,0.4887986183166504,0.6689584924879042,A1,rel-trial,SAGE-MPNN-U,42,True
1,0.5031970379253229,0.4960610568523407,0.628603594547867,A1,rel-trial,SAGE-MPNN-U,43,False
2,0.4826903852323691,0.4890658408403396,0.6685742877693341,A1,rel-trial,SAGE-MPNN-U,43,False
3,0.4683023405571778,0.4794818609952926,0.676289654617828,A1,rel-trial,SAGE-MPNN-U,43,False
4,0.4640609299143155,0.475336879491806,0.674994080566836,A1,rel-trial,SAGE-MPNN-U,43,False
5,0.454311237980922,0.5136596262454987,0.6747215632664549,A1,rel-trial,SAGE-MPNN-U,43,False
6,0.453556191176176,0.4796648621559143,0.6834599868655598,A1,rel-trial,SAGE-MPNN-U,43,False
7,0.4458340555429458,0.4911638498306274,0.6752800003573998,A1,rel-trial,SAGE-MPNN-U,43,False
8,0.4389088936150074,0.4831224679946899,0.6679041632602005,A1,rel-trial,SAGE-MPNN-U,43,False
9,0.4366956601540248,0.5113992542028427,0.6756418675923319,A1,rel-trial,SAGE-MPNN-U,43,True
1,0.4977351340154807,0.4946591109037399,0.6488547572138903,A1,rel-trial,SAGE-MPNN-U,44,False
2,0.476978175342083,0.4803019016981125,0.6683687829198666,A1,rel-trial,SAGE-MPNN-U,44,False
3,0.4646888598799705,0.4738748967647552,0.6816372482007157,A1,rel-trial,SAGE-MPNN-U,44,False
4,0.4594409031172593,0.47105473279953,0.6914880784849825,A1,rel-trial,SAGE-MPNN-U,44,False
5,0.4519249958296616,0.4777313619852066,0.6831606645848132,A1,rel-trial,SAGE-MPNN-U,44,False
6,0.4503277689218521,0.4911242574453354,0.6897278847743245,A1,rel-trial,SAGE-MPNN-U,44,False
7,0.4489940156539281,0.4835586696863174,0.6785904154325207,A1,rel-trial,SAGE-MPNN-U,44,True
1,0.5025373498598734,0.4989206790924072,0.6476574680909046,A1,rel-trial,SAGE-Dir-GNN,42,False
2,0.4807915203273296,0.4838765114545822,0.6727335272226913,A1,rel-trial,SAGE-Dir-GNN,42,False
3,0.4692616611719131,0.5004447996616364,0.6678818257765626,A1,rel-trial,SAGE-Dir-GNN,42,False
4,0.4636576759318511,0.492305189371109,0.6646830981196307,A1,rel-trial,SAGE-Dir-GNN,42,False
5,0.4592685190339883,0.47781702876091,0.6848806508249232,A1,rel-trial,SAGE-Dir-GNN,42,False
6,0.4509707354009151,0.4949945658445358,0.6768168192316799,A1,rel-trial,SAGE-Dir-GNN,42,False
7,0.4451851931711038,0.4888882637023926,0.6802076492478969,A1,rel-trial,SAGE-Dir-GNN,42,False
8,0.4391674337287743,0.4814793020486831,0.6705176488458223,A1,rel-trial,SAGE-Dir-GNN,42,True
1,0.5031305216252804,0.4953055083751678,0.6326154066092147,A1,rel-trial,SAGE-Dir-GNN,43,False
2,0.4839660339057445,0.4804546535015106,0.6712369158189592,A1,rel-trial,SAGE-Dir-GNN,43,False
3,0.4688694775104522,0.4783485978841781,0.6816059757236228,A1,rel-trial,SAGE-Dir-GNN,43,False
4,0.4614559859037399,0.4996978491544723,0.6874137214694491,A1,rel-trial,SAGE-Dir-GNN,43,False
5,0.4569049601753552,0.4855617433786392,0.6771742189698847,A1,rel-trial,SAGE-Dir-GNN,43,False
6,0.4469413707653681,0.4747102856636047,0.6796626146471348,A1,rel-trial,SAGE-Dir-GNN,43,False
7,0.4450355271498362,0.4977977573871612,0.6767944817480421,A1,rel-trial,SAGE-Dir-GNN,43,True
